,Block_Group,NO2_Hospital_Admissions_V,NO2_Asthma_Exacerbation_I,NO2_Asthma_Exacerbation_V,O3_Acute_Respiratory_Symptoms_I,O3_Mortality_V,O3_School_Loss_Days_I,O3_School_Loss_Days_V,PM25_Acute_Respiratory_Symptoms_I,PM25_Mortality_V,PM25_Work_Loss_Days_I,PM25_Work_Loss_Days_V,SO2_Asthma_Exacerbation_I,SO2_Asthma_Exacerbation_V,SO2_Hospital_Admissions_V,bgrp,SUM_HOUSIN,SUM_POP10,under_1,under_1pct,under_13,under_13pc,over_70,over_70pct,NonWhite,NonWt_Pct,PLx2_Pop,PLx2_Pct
43,420030706001,70.2063299128,0.207194722132,17.1324111972,0.927942220793,4355.8276433,0.0782353901842,7.68194723445,0.856050404466,24910.1626995,0.143983493592,24.1879570259,0.0445585463313,3.51781680144,27.9869300225,420030706001,568.0,921.0,7,0.760043025017,80,8.68620967865,77,8.36048030853,202.0,21.9326818675,190.0,20.652173913
44,420030706002,88.6500930053,0.261626428984,21.6332323299,1.17172004688,5500.13832333,0.0987884514793,9.70005607245,1.08094167673,31454.2612159,0.181809106302,30.5423263489,0.0562644320157,4.44197534624,35.3393198663,420030706002,788.0,1161.0,9,0.775193989277,52,4.47889995575,97,8.35486984253,211.0,18.1739879414,402.0,37.9603399433
45,420030708001,29.7496053231,0.0892367741158,7.34070945583,0.407260619522,1909.31237506,0.028211245748,2.77006736649,0.375265988556,10963.389239,0.0631179049467,10.6032513473,0.0206894078364,1.6333914028,12.0070808352,420030708001,481.0,725.0,12,1.65516996384,44,6.0689702034,45,6.20690011978,152.0,20.9655172414,214.0,30.8357348703
46,420030708002,69.4051594117,0.208187384862,17.1257098857,0.950129855945,4454.38278319,0.0658162011589,6.46250479846,0.875487102254,25577.3402559,0.147252651152,24.7371466628,0.048267922664,3.81066536721,28.0122492511,420030708002,607.0,980.0,16,1.63265001774,100,10.2040996552,69,7.04082012177,333.0,33.9795918367,442.0,35.303514377
47,420030709001,105.383211931,0.226436812777,18.9185878031,1.38035409644,6460.25961591,0.0830291382953,8.15264623598,1.26578248473,31506.5863276,0.212898426691,35.7650579745,0.0410145319136,3.23802326036,41.8185210179,420030709001,1110.0,1762.0,14,0.794552028179,64,3.63224005699,171,9.70487976074,620.0,35.1872871737,324.0,23.3935018051
48,420030709002,74.3945722127,0.159851482847,13.3554449693,0.974452209709,4560.56929111,0.058613892979,5.75530884437,0.893571107901,22241.8745642,0.150294292506,25.2481155838,0.0289538670822,2.28585567092,29.5215080972,420030709002,472.0,787.0,9,1.14357995987,75,9.52985954285,89,11.3087997437,325.0,41.2960609911,300.0,41.3793103448
49,420030709003,105.719401597,0.227159183211,18.9789411896,1.38475765157,6480.86889973,0.0832940148139,8.17865450966,1.26982053769,31607.0974863,0.213577607461,35.8791543536,0.0411453749724,3.24835308367,41.9519289333,420030709003,471.0,892.0,1,0.112107999623,19,2.13003993034,115,12.8923997879,335.0,37.5560538117,317.0,46.6863033873
50,420030709004,124.673585508,0.267886021147,22.3816311055,1.63302760772,7642.80870613,0.0982276036496,9.64498632174,1.49748368789,37273.8599687,0.25186943649,42.3118439063,0.0485222328859,3.83074270018,49.4733920175,420030709004,840.0,1493.0,14,0.937708973885,101,6.76490020752,93,6.22907018661,819.0,54.8559946417,809.0,49.815270936
51,420030802001,57.3131096206,0.21488261383,18.1045280623,0.651698092553,3370.21721856,0.0869139660647,8.53409818336,0.594465437752,20309.9204154,0.0999861808382,16.7967965283,0.0329647761571,2.60250957378,22.8372735742,420030802001,631.0,1049.0,6,0.571973025799,50,4.7664399147,119,11.3440999985,100.0,9.5328884652,296.0,35.792019347
52,420030802002,7.5138678537,0.0281715575209,2.37354127728,0.085438975138,441.842485711,0.0113946016884,1.11883801847,0.0779356550784,2662.67280087,0.0131083962288,2.20209495374,0.00432175070435,0.341194417033,2.99401405562,420030802002,373.0,630.0,9,1.42857003212,56,8.88889026642,85,13.492099762,82.0,13.0158730159,349.0,38.9508928571
53,420030804001,22.2984737626,0.0521960193961,4.37951223965,0.311236276577,1410.16614053,0.0210843328753,2.07027449138,0.284644639517,7144.6552765,0.0478758370024,8.04271836375,0.00872255536025,0.688630000844,8.85595641863,420030804001,379.0,667.0,6,0.899550020695,41,6.14693021774,67,10.0450000763,103.0,15.4422788606,331.0,43.899204244
54,420030804002,36.8806761615,0.0863298765986,7.24351694987,0.514770851509,2332.35159124,0.0348725415529,3.42414121678,0.470789475678,11816.9395961,0.0791844885547,13.3022956902,0.0144267156114,1.13896315625,14.6473549828,420030804002,446.0,702.0,8,1.13960003853,27,3.84614992142,25,3.56124997139,258.0,36.7521367521,425.0,63.9097744361
55,420030806001,98.4085926545,0.419774726669,35.0292758189,1.34793628504,6369.05139887,0.154338426152,15.1545182194,1.23384633406,36821.4787432,0.207526922254,34.8626926043,0.0777080185598,6.13490779666,39.8373798924,420030806001,763.0,1313.0,19,1.44707000256,126,9.59634017944,85,6.4737200737,270.0,20.563594821,290.0,24.5139475909
56,420030806002,36.6838667919,0.156479833116,13.057897215,0.502471519922,2374.19748423,0.0575328852199,5.6491644953,0.459942097933,13725.9784421,0.0773600126408,12.9957998281,0.0289672936541,2.28691554592,14.8502188466,420030806002,463.0,685.0,12,1.75181996822,45,6.56934022903,42,6.13139009476,121.0,17.6642335766,437.0,40.8411214953
57,420030807001,53.2360190246,0.193609386657,16.2610071971,0.735238065457,3447.34088322,0.0843837213911,8.28565299728,0.674377307768,19695.3499801,0.11342696676,19.0547300188,0.0317167693193,2.50398168668,21.4731558596,420030807001,517.0,839.0,10,1.19190001488,96,11.442199707,35,4.1716299057,361.0,43.0274135876,266.0,42.2222222222
58,420030807002,56.2530341591,0.204581703153,17.1825581642,0.776905801166,3642.71010521,0.0891659528427,8.75522117592,0.712595915793,20811.5335351,0.119855149814,20.1346080769,0.0335142360497,2.64588844048,22.690092013,420030807002,646.0,946.0,7,0.739957988262,34,3.59407997131,60,6.34249019623,342.0,36.1522198732,440.0,56.2659846547
59,420030809001,25.4494609193,0.0960013681469,8.04548078748,0.325738231205,1570.21701774,0.0381275864368,3.74375466774,0.298122890301,8970.93378521,0.0501428129015,8.42355032066,0.0164179370788,1.2961664968,10.1637030554,420030809001,600.0,995.0,3,0.301508009434,44,4.42211008072,132,13.2663002014,162.0,16.2814070352,450.0,44.6871896723
60,420030809002,37.7381709709,0.142357280417,11.9303796046,0.483026540324,2328.42331964,0.056538147516,5.55149101869,0.442076656954,13302.7035043,0.0743551327958,12.4910065164,0.0243456204606,1.92204278975,15.0714219377,420030809002,502.0,772.0,4,0.518135011196,63,8.16061973572,38,4.92227983475,278.0,36.0103626943,357.0,42.1487603306
