bgrp,SUM_HOUSIN,SUM_POP10,under_1,under_1pct,under_13,under_13pc,over_70,over_70pct,NonWhite,NonWt_Pct,PLx2_Pop,PLx2_Pct
420031014002,333.0,670.0,4,0.597015023232,83,12.3880996704,94,14.0298995972,122.0,18.2089552239,143.0,17.9197994987
420031014003,425.0,822.0,10,1.21653997898,111,13.5036001205,60,7.29927015305,383.0,46.5936739659,274.0,27.3726273726
420031014004,338.0,730.0,9,1.2328799963,74,10.1370000839,100,13.6985998154,55.0,7.53424657534,214.0,32.2289156627
420031016001,391.0,857.0,12,1.40023005009,233,27.1879005432,59,6.88447999954,806.0,94.049008168,678.0,71.746031746
420031017001,371.0,607.0,7,1.15321004391,91,14.9918003082,75,12.355799675,494.0,81.3838550247,393.0,51.6425755585
420031017002,446.0,858.0,10,1.16550004482,151,17.5991001129,62,7.22610998154,698.0,81.351981352,484.0,68.1690140845
420031018001,476.0,1006.0,9,0.89463198185,125,12.4253997803,104,10.3380002975,234.0,23.2604373757,279.0,25.0673854447
420031018002,784.0,1516.0,14,0.923483014107,176,11.6094999313,219,14.4458999634,341.0,22.4934036939,525.0,30.2071346375
420031102001,453.0,808.0,9,1.1138600111,86,10.6436004639,88,10.8910999298,229.0,28.3415841584,178.0,25.6115107914
420031102002,407.0,736.0,14,1.90216994286,91,12.3641004562,58,7.88043022156,293.0,39.8097826087,176.0,29.3823038397
420031102003,650.0,1197.0,10,0.835421979427,143,11.9464998245,101,8.43776035309,434.0,36.2573099415,125.0,8.97343862168
420031102004,646.0,1230.0,12,0.975610017776,192,15.6098003387,56,4.55284976959,583.0,47.3983739837,595.0,54.889298893
420031106001,434.0,969.0,15,1.54798996449,157,16.202299118,72,7.43033981323,349.0,36.0165118679,237.0,26.9012485812
420031106002,313.0,716.0,9,1.25697994232,93,12.9888000488,82,11.4525003433,63.0,8.79888268156,82.0,10.8897742364
420031106003,361.0,721.0,7,0.970874011517,109,15.1178998947,56,7.76699018478,297.0,41.1927877947,272.0,27.3641851107
420031113001,455.0,757.0,12,1.58519995213,124,16.380399704,33,4.35931015015,573.0,75.6935270806,407.0,64.094488189
420031113002,336.0,624.0,4,0.64102602005,43,6.89102983475,127,20.3526000977,442.0,70.8333333333,298.0,50.6802721088
420031113003,363.0,579.0,11,1.89982998371,104,17.9619998932,32,5.5267701149,509.0,87.9101899827,356.0,42.0803782506
420031113004,370.0,679.0,10,1.4727499485,105,15.4638996124,70,10.3093004227,467.0,68.7776141384,500.0,78.0031201248
420031114001,342.0,575.0,13,2.26086997986,97,16.869600296,46,8.0,500.0,86.9565217391,608.0,85.9971711457
420031114002,421.0,778.0,9,1.15681004524,153,19.6658000946,87,11.1824998856,688.0,88.4318766067,568.0,65.5132641292
420031115001,501.0,757.0,11,1.45309996605,99,13.0778999329,90,11.888999939,619.0,81.7701453104,510.0,59.718969555
420031115002,1126.0,1538.0,12,0.780233979225,90,5.85175991058,225,14.6294002533,966.0,62.8088426528,839.0,45.1075268817
420031115003,12.0,170.0,2,1.17647004128,13,7.64705991745,5,2.94117999077,134.0,78.8235294118,0.0,0.0
420031115004,356.0,765.0,7,0.915032982826,196,25.6208992004,64,8.36600971222,747.0,97.6470588235,374.0,76.0162601626
420031203001,537.0,952.0,14,1.47058999538,185,19.432800293,104,10.9244003296,923.0,96.9537815126,464.0,54.5240893067
420031203002,385.0,698.0,8,1.14612996578,119,17.0487003326,104,14.8997001648,691.0,98.9971346705,405.0,43.7365010799
420031204001,285.0,543.0,9,1.65745997429,100,18.4162006378,57,10.4972000122,528.0,97.2375690608,220.0,45.4545454545
420031204002,208.0,326.0,2,0.613497018814,30,9.20244979858,45,13.8037004471,306.0,93.8650306748,108.0,51.1848341232
420031207001,328.0,460.0,6,1.3043500185,67,14.565199852,116,25.2173995972,449.0,97.6086956522,312.0,57.7777777778
420031207002,204.0,358.0,3,0.837988972664,66,18.4358005524,44,12.2904996872,350.0,97.7653631285,379.0,86.1363636364
420031208001,185.0,355.0,2,0.563380002975,91,25.6338005066,32,9.01408004761,334.0,94.0845070423,199.0,45.4337899543
420031208002,214.0,504.0,3,0.595237970352,58,11.507900238,133,26.3889007568,407.0,80.753968254,334.0,78.9598108747
420031301001,424.0,821.0,24,2.92325997353,220,26.7966003418,80,9.74421024323,802.0,97.6857490865,534.0,60.2708803612
420031301002,306.0,546.0,9,1.64835000038,118,21.611700058,65,11.904800415,536.0,98.1684981685,445.0,70.747217806
420031301003,343.0,543.0,7,1.28912997246,100,18.4162006378,53,9.76058959961,527.0,97.0534069982,158.0,39.3034825871
420031302001,310.0,662.0,9,1.3595199585,145,21.9032993317,54,8.15709972382,657.0,99.2447129909,432.0,74.6113989637
420031302002,424.0,708.0,13,1.83615994453,101,14.2655000687,74,10.4519996643,695.0,98.1638418079,178.0,30.849220104
420031303001,311.0,361.0,5,1.38504004478,61,16.8974990845,69,19.1135997772,356.0,98.6149584488,216.0,89.2561983471
420031303002,175.0,286.0,4,1.39859998226,46,16.0839004517,28,9.7902097702,279.0,97.5524475524,23.0,11.004784689
420031303003,340.0,506.0,3,0.592885017395,61,12.0552997589,109,21.5415000916,495.0,97.8260869565,258.0,60.9929078014
420031304001,223.0,399.0,10,2.50626993179,87,21.8045005798,46,11.5288000107,392.0,98.2456140351,87.0,42.8571428571
420031304002,269.0,482.0,8,1.65974998474,111,23.0289993286,46,9.54356956482,472.0,97.9253112033,453.0,68.7405159332
420031304003,189.0,310.0,8,2.58065009117,62,20.0,38,12.258099556,306.0,98.7096774194,240.0,63.829787234
420031306001,323.0,579.0,6,1.03627002239,98,16.925699234,80,13.8169002533,561.0,96.8911917098,549.0,76.4623955432
420031306002,371.0,644.0,10,1.55280005932,77,11.9565000534,118,18.3229999542,617.0,95.8074534161,235.0,36.3214837713
420031306003,828.0,1946.0,52,2.67214989662,579,29.7532997131,146,7.50257015228,1928.0,99.0750256937,1047.0,65.4375
420031401001,459.0,1280.0,10,0.78125,151,11.7968997955,89,6.95312976837,326.0,25.46875,341.0,31.7209302326
420031401002,486.0,1897.0,4,0.210859000683,185,9.75224018097,156,8.22350978851,580.0,30.5745914602,143.0,13.0236794171
420031401003,0.0,527.0,0,0.0,0,0.0,0,0.0,306.0,58.064516129,0.0,0.0
420031401004,222.0,1772.0,5,0.282166987658,25,1.41084003448,101,5.69976997375,757.0,42.7200902935,11.0,4.23076923077
420031402001,337.0,909.0,5,0.550055027008,64,7.0406999588,76,8.36083984375,177.0,19.4719471947,338.0,46.0490463215
420031402002,800.0,1538.0,14,0.910273015499,155,10.0780000687,114,7.41222000122,533.0,34.655396619,563.0,29.9468085106
420031403001,369.0,790.0,14,1.77215003967,103,13.0380001068,57,7.21518993378,97.0,12.2784810127,153.0,19.125
420031403002,505.0,1006.0,8,0.795229017735,117,11.630200386,159,15.8051996231,151.0,15.0099403579,123.0,11.581920904
420031403003,390.0,912.0,9,0.986841976643,142,15.5701999664,113,12.3903999329,98.0,10.7456140351,95.0,11.059371362
420031403004,324.0,732.0,5,0.683059990406,108,14.7540998459,65,8.87977981567,97.0,13.2513661202,134.0,16.6874221669
420031404001,322.0,707.0,9,1.27297997475,111,15.7000999451,83,11.7397003174,94.0,13.2956152758,83.0,13.0094043887
420031404002,259.0,644.0,7,1.08695995808,112,17.3913002014,49,7.60869979858,71.0,11.0248447205,120.0,16.4383561644
420031404003,408.0,955.0,7,0.732984006405,142,14.869099617,117,12.2512998581,96.0,10.0523560209,37.0,3.56454720617
420031405001,447.0,811.0,12,1.4796500206,110,13.5635004044,57,7.02835988998,590.0,72.7496917386,182.0,35.3398058252
420031405002,313.0,521.0,8,1.53550994396,52,9.98081016541,60,11.5163002014,405.0,77.7351247601,336.0,43.579766537
