Block_Group,NO2_Hospital_Admissions_V,NO2_Asthma_Exacerbation_I,NO2_Asthma_Exacerbation_V,O3_Acute_Respiratory_Symptoms_I,O3_Mortality_V,O3_School_Loss_Days_I,O3_School_Loss_Days_V,PM25_Acute_Respiratory_Symptoms_I,PM25_Mortality_V,PM25_Work_Loss_Days_I,PM25_Work_Loss_Days_V,SO2_Asthma_Exacerbation_I,SO2_Asthma_Exacerbation_V,SO2_Hospital_Admissions_V
420035220001,78.7320552123,0.756126279972,63.4040468278,0.765872665758,4690.02492309,0.302845768586,29.7364812703,0.736367690602,27156.2610128,0.123853446139,20.8062865955,0.218277893183,17.1629736441,66.2607659895
420035220002,66.9837025555,0.643297545015,53.9429308949,0.651589580637,3990.18206218,0.257655294638,25.2992203885,0.626487321152,23104.0191355,0.105372105101,17.7015843019,0.185706589673,14.6019244442,56.3733720423
420035220003,144.633839721,1.38903330913,116.47569369,1.40693779791,8615.75772642,0.556339425353,54.6270696771,1.35273601395,49887.1049681,0.227523585271,38.2219556256,0.40098495755,31.5290483969,121.723597613
420035231001,255.366255764,2.65991408137,224.008357093,2.35354971475,15300.1539009,1.06839065331,104.905473152,2.18730622594,84360.9496646,0.367894215485,61.8029834686,0.411890303956,32.5179784516,106.028989568
420035231002,194.456926988,2.02547805274,170.57843784,1.79220577002,11650.9413756,0.813576065833,79.8851823226,1.66559316723,64239.3002298,0.280144629183,47.0618268988,0.5353428139,42.0934666515,162.746077254
420035231003,105.812887708,1.10215503798,92.8195121053,0.975220943937,6339.80887469,0.442703863674,43.4691731354,0.906325248994,34955.5347137,0.152439476695,25.6084876075,0.291304454564,22.9049760737,88.5575672933
420035231004,162.463122114,1.69222856013,142.513372871,1.49733170273,9733.99079066,0.679715459054,66.7413849231,1.39155620518,53670.1270214,0.23405295168,39.318831595,0.262049083209,20.688297661,67.4602386681
420035232001,233.252806825,2.64644229982,222.402938139,2.49902301161,14913.8266073,1.04179878477,102.294412729,2.33891594506,82772.0133791,0.393394229163,66.0867608628,0.731123853191,57.4875374732,197.774430548
420035232002,136.580455561,1.54961608914,130.22735107,1.46329524175,8732.74544958,0.610022120351,59.8981832819,1.36954489703,48466.8928695,0.230350757242,38.6968955819,0.42810729598,33.6616485669,115.806198153
420035232003,140.247605,1.59122287504,133.723921318,1.50258433552,8967.21737637,0.626401054418,61.5064338059,1.40631681861,49768.2162417,0.236535614708,39.7358970872,0.439601864686,34.5654550094,118.915564225
420035232004,92.3517531128,1.04782290949,88.05742049,0.989434392284,5904.81457501,0.412477813411,40.501271746,0.926043444162,32771.7977688,0.155755980738,26.1656310361,0.289473669201,22.7610239939,78.3045606265
420035233001,128.925933283,1.10697156161,93.0536845036,1.12086982329,7404.65242269,0.437452107615,42.9535022499,1.04556810723,43602.5083708,0.17585944482,29.5428356944,0.304105436009,23.9115063217,106.579289326
420035233002,286.700443929,2.46164002888,206.92914123,2.49254643921,16466.1762197,0.972788873872,95.5183169887,2.32509343053,96961.5513964,0.391069349783,65.6962016318,0.676257765098,53.1734717981,237.006851806
420035233003,88.428327235,0.759254893085,63.8241024709,0.768787850781,5078.73708671,0.300041859138,29.4611648846,0.717139529761,29906.3084779,0.120619363474,20.2629892316,0.208581371093,16.4005446235,73.1011408068
420035233004,252.16650085,2.16512802661,182.00390184,2.19231267049,14482.7726582,0.85561389764,84.0128846966,2.04502981675,85282.2777272,0.343964018918,57.7829215034,0.594800740167,46.7685873865,208.45875368
420035234001,204.134743187,1.67667042668,140.203544584,2.02445483017,12259.6487067,0.661776825479,64.9799872199,1.89470828906,72935.6588509,0.318680672743,53.5355423388,0.510338351719,40.127394247,169.66987971
420035234002,89.9001083346,0.738398817596,61.7450692136,0.891561650453,5399.09928935,0.29144381488,28.6169213503,0.83442180292,32120.5666893,0.140345668535,23.5768345009,0.224750928679,17.6719407665,74.7219230246
420035234003,106.484221917,0.874613223643,73.1353473788,1.05603041418,6395.08558478,0.345207235397,33.8959614188,0.988349826054,38045.9335903,0.166235609614,27.9261162596,0.266211333989,20.9319309748,88.5060761421
420035234004,81.4603364651,0.669078349749,55.9484766635,0.807862341555,4892.23486897,0.264083232607,25.9303807857,0.756086750938,29105.1058606,0.127170095699,21.3634544697,0.203651437247,16.0129088551,67.7070706995
420035234005,130.223725777,1.06959876821,89.4400808888,1.29146095631,7820.80064557,0.42216744931,41.4526988626,1.20869171416,46527.8623779,0.203296038145,34.1519413893,0.325560267352,25.598478255,108.237547137
420035234006,74.2516140661,0.609869165307,50.9973918237,0.736371655295,4459.30315507,0.240713543791,23.6357067775,0.689177875606,26529.4888469,0.115916349924,19.4729244346,0.1856295785,14.5958681241,61.7154249698
420035235011,285.940980256,2.75621194235,231.166380625,2.69166691092,16657.2975588,1.07252886313,105.311804749,2.57198363987,98965.4876924,0.432595076177,72.6721574196,0.79246066387,62.3103895233,238.89678519
420035235012,250.610288272,2.41565608677,202.603604546,2.3590861998,14599.1320982,0.940007855216,92.299542804,2.25419092024,86737.3727871,0.379143894131,63.6928302617,0.694544710727,54.6113560456,209.378845069
420035235013,214.275025213,2.06541707632,173.228692133,2.01704909414,12482.446032,0.80371882681,78.9172982395,1.9273622787,74161.5712148,0.324172914186,54.4581904609,0.593844675845,46.6934130049,179.021610068
420035235021,218.563643109,1.99687676844,167.677353816,2.509527302,15378.0294273,0.930110758766,91.3277450978,2.39169014338,91778.0395703,0.402270591355,67.5779114239,0.697796630732,54.8670512636,221.70973361
420035236001,377.666297427,2.9178602418,244.472549083,3.23238995536,20748.2848082,1.11781964792,109.758915171,3.09894783743,130233.057774,0.521227878365,87.5616864686,0.855836499216,67.2935680794,310.588133374
420035236002,159.008512581,1.22850415865,102.930064614,1.36093033026,8735.6322988,0.4706346337,46.2117005482,1.30474731146,54831.9109929,0.219452120085,36.8660206626,0.360332096563,28.3325524134,130.766651538
420035236003,363.856825982,2.81116788412,235.533343471,3.11419673269,19989.6181003,1.07694626681,105.745550422,2.98563396229,125471.050402,0.502169038454,84.3599694578,0.824542603579,64.8329603601,299.231393342
420035237011,129.53150361,1.01758082663,85.3352949094,1.79034883604,10637.9902832,0.547737635788,53.7824583808,1.50017095021,56140.706711,0.252321420878,42.387773297,0.364849368466,28.6877410035,131.589786641
420035237012,360.373505117,2.87007227411,240.663227648,3.68371257363,21778.9297893,1.12650537823,110.611768594,3.40758367252,127521.570475,0.573138917193,96.2822831496,0.828742051523,65.1631587926,298.901407447
420035237013,138.301006821,1.08647279784,91.1126408471,1.69035276718,9893.7638396,0.521276059213,51.1841913586,1.6017349797,59941.5244718,0.269403994185,45.2574949486,0.389550283052,30.6299491981,140.498631471
420035237014,137.677755489,1.09648768064,91.9434213136,1.40733231439,8320.46231968,0.430372182801,42.2583231408,1.30183952208,48718.5748954,0.218963044125,36.7838602148,0.316614134815,24.8950528153,114.192842441
420035237021,288.841280859,2.19093110646,183.500403993,3.31654296215,20131.9487043,1.0458388129,102.691103847,3.14489997696,120747.400848,0.528956803617,88.8600777438,0.805044522371,63.2998457331,292.542358581
420035237022,203.414950425,1.54294454286,129.228596544,2.33564785892,14177.7454548,0.736525297619,72.319553349,2.21478242526,85035.8431915,0.372515577906,62.579331596,0.56694765774,44.5785251725,206.021671704
420035237023,174.791755163,1.32583781792,111.044922636,2.00699970484,12182.8107063,0.632887380852,62.1433273934,1.90313027678,73070.0613943,0.32009720991,53.7735080893,0.487171171072,38.3057820003,177.031455351
420035237024,54.8496059847,0.416047552384,34.8458670004,0.629795970174,3822.96273874,0.19859989071,19.5005595025,0.597201771452,22929.3657073,0.100446418791,16.8741124452,0.152874183084,12.0203441386,55.5524233042
420035238001,194.240426251,1.405104437,117.822555545,1.72245226255,11013.2654759,0.552040695638,54.204976612,1.60304009241,67754.532791,0.269623507763,45.2943712938,0.405674744363,31.897799486,159.230077919
